doc,PC0,PC1,PC2,PC3,PC4
South_Africa_2012,-0.00033393819017160507,0.0012935230051031063,7.743050256233479e-05,-0.00016440583647601138,-0.000353819323374378
South_Sudan_2011,-0.00014881298075194383,-0.00034778997760691327,-0.0003372616966069875,7.613419244161452e-05,-4.332349295082923e-05
Spain_2011,-0.0002021335440831937,-0.0002724944434029641,0.0008025190137854924,-0.00019002885418860967,0.0012125226409356565
Sri_Lanka_2010,-0.00024029671593386471,0.00022700865071670297,-0.0002994436490524121,0.00015738264672756255,-0.0005006546291874053
St_Kitts_and_Nevis_1983,-0.0003936775339593983,0.002471407893189755,0.0005794254298970043,-0.00032396361167948243,-2.2301947532632853e-05
St_Lucia_1978,-0.0005072698026938149,0.003401669048965433,0.0008354284615392235,-0.0007595951933858063,0.0003585125788500563
St_Vincent_and_the_Grenadines_1979,-0.00050848768325777,0.003452993523311428,0.0008404189888724252,-0.000677654100416174,0.0001833330940076407
Sudan_2005,-0.00013168906258900718,-0.0007099919652266181,-5.619896062284302e-05,7.197492358780269e-05,-6.472146551608238e-05
Surinam_1992,-0.00015387691277424933,-0.00033187259792436517,-9.927231687526994e-05,-1.6116375499417302e-05,-0.00018433317746320877
Swaziland_2005,-0.0003614873780811071,0.0017398188710353259,0.0002698448304012781,-0.000291068552154108,6.189794968933202e-05
Sweden_2012,-0.00014744524124875958,-0.0003826414005685898,-0.00040181567770822637,8.13129210238247e-05,-0.0001400983391944634
Switzerland_2002,-0.00011795109819925152,-0.0005760058369957163,-0.00038841139716762026,3.8682637111381975e-05,-5.83858162840088e-05
Syria_2012,-0.00012315026557450768,-0.0005681298392316707,-0.0003697255811654967,3.9470359897968456e-05,-0.000116900306262434
Taiwan_2005,-0.00010440468666854751,-0.0006278901985122963,-0.0003538134159580809,4.074555396722627e-06,-0.0001529235513658429
Tajikistan_2003,-6.529104751343677e-05,-0.0008167757309743832,0.00010903753238492097,5.4248293194333286e-05,-0.0005310436476760331
Tanzania_1995,-0.00021741005792882723,0.0001668240550693511,-0.0002113345605773525,8.594528999189079e-05,-0.0003120415245146117
Thailand_2007,-0.0002196898097145576,0.0006088880373404472,-1.6311395837013944e-05,-0.0005220775545946548,0.0004952938060194575
Togo_2007,-0.00014035163840523144,-0.0005762860994974023,-0.00039455375170673214,-6.234604715137952e-06,4.2795843609119436e-05
Tonga_1988,-0.0001713008772695759,-0.00019795556078966773,-0.00033648371964250536,-0.00010804428930998154,-0.00017151752422002328
Trinidad_and_Tobago_2007,-0.000460197597560113,0.0029925102179888577,0.0007110612744197558,-0.0008281253118903804,0.0005048997584730394
Tunisia_2014,-0.00011496793825626043,-0.0005488238554322118,-0.00038113108632854435,4.137091957526723e-05,-9.429910887864796e-05
Turkey_2002,-0.00011334117668154671,-0.0006465766454795693,-0.00044656595519581183,5.0944561734233366e-05,-0.0001256935659644468
Turkmenistan_2008,-8.96926139974537e-05,-0.0005900411739855091,-0.00029115847079006657,6.559224593103912e-05,-0.00028837141546187876
Tuvalu_1986,-0.0006234543319267442,0.0038036583869141744,0.0008278988734824892,-0.00020210756512344187,-0.0004274353813116972
Uganda_2005,-0.00024242241166230673,0.00034257622465763633,-0.000322911369419966,0.0002784109077269247,-0.0007575662309234211
Ukraine_2004,-6.815245106976544e-05,-0.000680089014701117,-0.0002976485985376525,8.372346518069259e-05,-0.00014130258812251865
United_Arab_Emirates_2004,3.866716818521181e-05,-0.0006295591162138849,-0.0004485666124804553,3.149504713074087e-05,-6.0729351832263336e-05
United_States_of_America_1992,-0.0002619855778001533,-0.0008787685874123855,0.0021570670101723095,-0.00043140642447215215,0.0033333527103782614
Uruguay_2004,-0.0001082652483020096,-0.0006665684255545803,-0.00033864528824985307,1.3672640551767256e-05,0.00017055583136723815
Uzbekistan_1992,-8.90119011048014e-05,-0.0005971230750374603,-0.00031837277490337886,3.5511042777972814e-05,-0.00015555639459650665
Vanuatu_1983,-0.0002732578308306184,0.0003501451846782101,-0.0003247378640302517,0.00025341246282435827,-0.0006676393182297531
Venezuela_2009,-0.0001154888734028209,-0.0006153866944762734,-0.0003245826076531871,2.7980702186642006e-05,-1.1984802354481508e-05
Yemen_2001,-0.00011600354919499155,0.00021099604162014616,-0.00014575405823760487,-0.0005293470684786862,0.0003314513110729526
Zambia_2009,-0.00021166285730961197,0.0004232144356051908,-0.00022158641168177853,4.946140869678286e-05,-0.0004984117340505936
Zimbabwe_2013,-0.00035970263209820754,0.0013104692214074567,9.233516079930637e-05,-7.148144368045117e-05,-0.0002460696057451704
