,term_str,x,y,cluster
3780,117,10.201255,-56.94762,"x 0 to 20, y -80 to -55"
3517,118,10.395782,-58.38858,"x 0 to 20, y -80 to -55"
3772,119,11.0603285,-56.47859,"x 0 to 20, y -80 to -55"
669,12,13.293319,-72.952156,"x 0 to 20, y -80 to -55"
2613,120,16.541737,-64.83185,"x 0 to 20, y -80 to -55"
2991,121,11.999285,-59.53147,"x 0 to 20, y -80 to -55"
3645,123,11.32285,-56.000824,"x 0 to 20, y -80 to -55"
3595,124,10.623234,-57.804115,"x 0 to 20, y -80 to -55"
3479,125,10.542151,-55.703445,"x 0 to 20, y -80 to -55"
3241,126,9.501972,-59.048687,"x 0 to 20, y -80 to -55"
3227,127,7.09432,-59.488243,"x 0 to 20, y -80 to -55"
3224,129,6.7808557,-59.790096,"x 0 to 20, y -80 to -55"
920,13,11.607851,-72.19637,"x 0 to 20, y -80 to -55"
3810,132,9.809304,-56.13744,"x 0 to 20, y -80 to -55"
3924,137,9.603417,-55.544857,"x 0 to 20, y -80 to -55"
849,14,11.940369,-71.37955,"x 0 to 20, y -80 to -55"
685,15,14.784535,-71.99438,"x 0 to 20, y -80 to -55"
3225,150,15.227443,-63.02744,"x 0 to 20, y -80 to -55"
3566,153,14.664509,-56.59664,"x 0 to 20, y -80 to -55"
3494,159,13.78335,-55.330673,"x 0 to 20, y -80 to -55"
1061,16,12.99864,-71.39757,"x 0 to 20, y -80 to -55"
1247,17,11.771663,-71.1477,"x 0 to 20, y -80 to -55"
963,18,15.295957,-71.19766,"x 0 to 20, y -80 to -55"
927,19,13.260657,-69.20513,"x 0 to 20, y -80 to -55"
49,2,9.330779,-75.5882,"x 0 to 20, y -80 to -55"
1042,20,14.673228,-71.38016,"x 0 to 20, y -80 to -55"
1799,2001,11.082847,-66.29175,"x 0 to 20, y -80 to -55"
1231,21,14.88605,-70.99528,"x 0 to 20, y -80 to -55"
1280,22,10.654613,-69.85105,"x 0 to 20, y -80 to -55"
1444,23,11.246662,-70.1546,"x 0 to 20, y -80 to -55"
1343,24,15.305121,-70.35187,"x 0 to 20, y -80 to -55"
1318,25,14.591435,-70.956314,"x 0 to 20, y -80 to -55"
1431,26,13.090802,-69.805244,"x 0 to 20, y -80 to -55"
1618,27,13.0480175,-69.92719,"x 0 to 20, y -80 to -55"
1462,28,12.904099,-70.07211,"x 0 to 20, y -80 to -55"
1804,29,12.823823,-69.96005,"x 0 to 20, y -80 to -55"
65,3,9.174689,-75.09985,"x 0 to 20, y -80 to -55"
753,30,17.6842,-69.0275,"x 0 to 20, y -80 to -55"
1289,31,13.981207,-69.392845,"x 0 to 20, y -80 to -55"
2025,32,9.60635,-68.37521,"x 0 to 20, y -80 to -55"
1983,33,10.167167,-67.90872,"x 0 to 20, y -80 to -55"
2487,34,10.11585,-67.94782,"x 0 to 20, y -80 to -55"
1888,35,16.350397,-66.2369,"x 0 to 20, y -80 to -55"
1733,36,7.4748535,-67.13568,"x 0 to 20, y -80 to -55"
1902,37,8.727988,-66.87153,"x 0 to 20, y -80 to -55"
2369,38,9.405637,-67.36978,"x 0 to 20, y -80 to -55"
1953,39,10.6391,-66.31101,"x 0 to 20, y -80 to -55"
83,4,9.717464,-75.34071,"x 0 to 20, y -80 to -55"
2012,40,16.862335,-66.03589,"x 0 to 20, y -80 to -55"
2111,41,9.17922,-66.13477,"x 0 to 20, y -80 to -55"
2524,42,6.7603197,-64.823296,"x 0 to 20, y -80 to -55"
2770,43,10.282838,-64.218895,"x 0 to 20, y -80 to -55"
2393,44,12.16766,-67.57401,"x 0 to 20, y -80 to -55"
