doc,div1,div2,unit,para,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,n
Namibia_2010,9,0,8,2,0,1,0,0,0,0,0,1,1,1
Namibia_2010,9,0,8,3,0,1,0,0,0,0,0,1,1,1
Namibia_2010,9,0,8,4,0,1,0,1,0,1,0,3,2,4
Namibia_2010,9,0,9,1,0,0,0,0,0,0,0,1,1,1
Namibia_2010,9,0,10,3,0,0,0,1,0,0,0,4,3,5
Namibia_2010,9,0,11,1,0,1,0,0,0,0,0,2,2,2
Namibia_2010,9,0,11,2,0,1,0,0,0,0,0,1,2,2
Namibia_2010,9,0,11,3,0,0,0,0,0,0,0,2,2,2
Namibia_2010,9,0,11,5,2,0,1,2,0,1,0,0,-2,2
Namibia_2010,9,0,11,6,4,2,1,5,0,1,0,0,-1,5
Namibia_2010,9,0,11,8,2,1,1,2,0,0,0,2,1,4
Namibia_2010,10,0,1,0,0,1,0,0,1,0,1,1,1,1
Namibia_2010,10,0,1,3,0,1,0,0,1,0,1,4,4,4
Namibia_2010,10,0,1,4,0,1,0,0,0,0,0,1,2,2
Namibia_2010,10,0,2,1,0,1,0,0,0,0,0,2,2,2
Namibia_2010,10,0,2,2,0,0,0,0,0,0,0,1,1,1
Namibia_2010,10,0,3,2,6,1,5,4,1,5,0,1,-6,9
Namibia_2010,10,0,3,3,2,1,1,4,1,1,0,2,0,6
Namibia_2010,10,0,3,4,1,0,2,2,3,1,0,2,0,6
Namibia_2010,10,0,3,5,0,0,0,0,0,0,0,1,1,1
Namibia_2010,10,0,3,6,1,0,1,0,0,0,1,1,0,2
Namibia_2010,10,0,3,7,0,0,0,1,0,1,0,0,0,1
Namibia_2010,10,0,3,8,1,0,0,0,0,0,0,0,-1,1
Namibia_2010,10,0,3,10,2,2,0,2,1,2,1,2,0,5
Namibia_2010,10,0,3,11,0,0,0,1,0,0,0,0,-1,1
Namibia_2010,10,0,3,12,0,1,0,1,1,0,1,4,3,4
Namibia_2010,10,0,3,13,0,1,0,0,0,0,0,0,1,1
Namibia_2010,10,0,3,14,0,0,0,0,0,0,0,1,1,1
Namibia_2010,10,0,4,2,0,1,0,0,0,0,0,1,2,2
Namibia_2010,10,0,4,3,2,1,0,1,0,0,0,1,0,3
Namibia_2010,10,0,4,5,0,0,0,0,0,0,0,1,1,1
Namibia_2010,10,0,5,1,5,5,0,7,1,0,0,6,1,14
Namibia_2010,10,0,6,1,0,1,0,0,0,0,0,2,2,2
Namibia_2010,10,0,6,2,0,0,2,0,0,0,0,0,-2,2
Namibia_2010,10,0,6,3,0,1,0,0,0,0,0,2,2,2
Namibia_2010,10,0,6,4,0,1,0,0,0,0,0,2,2,2
Namibia_2010,10,0,6,7,1,0,1,1,0,0,0,0,-2,2
Namibia_2010,10,0,6,8,0,0,0,0,1,0,0,0,1,1
Namibia_2010,10,0,6,9,0,0,0,0,0,0,0,1,1,1
Namibia_2010,10,0,6,10,0,0,0,0,0,0,0,2,2,2
Namibia_2010,10,0,6,11,0,0,0,0,0,0,0,4,4,4
Namibia_2010,10,0,6,12,0,0,0,0,0,1,0,2,1,3
Namibia_2010,11,0,1,1,0,0,0,0,0,1,0,0,-1,1
Namibia_2010,11,0,1,2,0,1,0,2,1,0,0,4,3,7
Namibia_2010,11,0,1,3,0,0,0,1,1,0,0,3,2,4
Namibia_2010,11,0,1,6,0,1,0,0,0,0,0,0,1,1
Namibia_2010,11,0,1,8,0,0,0,1,1,2,0,1,-1,3
Namibia_2010,11,0,1,9,0,2,0,0,2,0,0,5,6,6
Namibia_2010,11,0,1,11,0,3,0,0,1,0,0,3,4,4
Namibia_2010,11,0,1,12,0,0,0,1,0,0,0,0,-1,2
Namibia_2010,11,0,1,13,0,1,2,1,2,0,1,3,0,6
Namibia_2010,11,0,2,3,0,1,0,0,1,0,0,2,2,2
Namibia_2010,11,0,2,5,0,1,0,0,1,0,0,1,1,1
Namibia_2010,11,0,2,6,0,1,0,0,1,0,1,1,1,1
Namibia_2010,11,0,3,0,0,0,0,1,0,0,0,0,-1,1
Namibia_2010,11,0,3,1,2,1,1,3,1,1,0,1,-2,4
Namibia_2010,11,0,4,1,0,1,0,0,0,0,0,2,2,2
Namibia_2010,11,0,4,2,0,0,0,0,0,1,0,0,-1,1
Namibia_2010,11,0,4,3,0,1,0,0,0,0,0,0,1,1
Namibia_2010,11,0,6,0,0,0,0,0,1,0,0,1,1,1
Namibia_2010,11,0,6,1,0,0,0,0,1,0,0,1,1,1
Namibia_2010,11,0,7,1,1,1,0,2,0,0,0,2,1,4
Namibia_2010,12,0,0,0,0,0,0,1,0,0,0,0,-1,1
Namibia_2010,12,0,1,0,0,0,0,1,0,0,0,0,-1,1
Namibia_2010,12,0,1,1,0,0,0,1,0,0,0,0,-1,1
Namibia_2010,12,0,1,3,0,3,0,1,2,0,0,6,5,8
Namibia_2010,12,0,1,4,0,0,0,1,0,0,0,1,0,2
Namibia_2010,12,0,1,5,0,1,0,0,1,0,0,4,5,5
Namibia_2010,12,0,2,3,0,1,0,0,1,0,0,1,2,2
Namibia_2010,12,0,3,1,2,2,0,2,0,0,0,1,1,3
Namibia_2010,12,0,3,2,0,0,0,0,0,0,0,1,1,1
Namibia_2010,12,0,4,1,0,3,0,0,1,0,0,4,5,5
Namibia_2010,12,0,5,0,0,1,0,0,0,0,0,1,1,1
Namibia_2010,12,0,5,2,0,1,0,0,0,0,0,2,2,2
Namibia_2010,12,0,5,3,0,3,0,0,1,0,1,2,3,3
Namibia_2010,12,0,5,4,0,1,0,0,0,0,0,1,1,1
Namibia_2010,12,0,5,5,0,1,0,0,0,0,0,3,3,3
Namibia_2010,12,0,7,2,0,1,0,0,0,0,0,2,2,2
Namibia_2010,12,0,7,3,0,0,0,0,0,0,0,1,1,1
Namibia_2010,12,0,7,4,0,1,0,1,2,0,0,1,1,3
Namibia_2010,12,0,8,0,0,0,0,0,0,0,0,1,1,1
Namibia_2010,12,0,8,1,0,1,0,0,0,0,0,3,3,3
Namibia_2010,12,0,8,2,0,2,0,0,0,0,0,5,5,5
Namibia_2010,12,0,8,3,0,0,0,0,0,0,0,1,1,1
Namibia_2010,12,0,10,1,0,0,0,0,1,0,0,0,1,1
Namibia_2010,12,0,10,2,0,0,0,0,0,0,0,2,2,2
Namibia_2010,12,0,10,3,2,3,0,0,2,2,2,7,5,8
Namibia_2010,12,0,10,5,1,0,0,1,0,0,0,2,1,3
Namibia_2010,13,0,0,0,0,1,0,0,0,0,0,0,1,1
Namibia_2010,13,0,1,1,0,1,0,0,1,0,0,2,4,4
Namibia_2010,13,0,1,2,0,1,0,0,0,0,0,0,1,1
Namibia_2010,13,0,1,3,0,1,0,0,0,0,0,2,3,3
Namibia_2010,13,0,1,4,0,3,0,0,1,0,1,2,2,4
Namibia_2010,13,0,2,1,0,1,0,0,0,0,0,0,1,1
Namibia_2010,13,0,2,2,0,0,0,1,0,0,0,2,1,3
Namibia_2010,13,0,2,3,0,1,0,0,1,0,0,0,2,2
Namibia_2010,13,0,2,5,0,1,0,1,1,1,0,1,0,1
Namibia_2010,13,0,2,6,0,1,0,0,0,0,0,0,1,1
Namibia_2010,13,0,2,8,0,0,0,0,0,0,0,3,3,3
Namibia_2010,14,0,1,1,1,0,0,2,0,0,0,2,1,3
Namibia_2010,14,0,1,2,1,1,0,2,0,0,0,4,4,6
Namibia_2010,15,0,0,0,0,0,0,1,0,0,0,1,1,1
Namibia_2010,15,0,1,0,1,0,0,1,0,0,0,0,-1,1
Namibia_2010,15,0,1,1,1,0,0,2,1,0,0,0,1,3
Namibia_2010,15,0,1,2,1,0,0,1,0,0,0,1,0,2
Namibia_2010,15,0,2,0,1,0,0,1,0,0,0,0,-1,1
Namibia_2010,15,0,2,1,1,0,0,1,0,0,0,1,0,2
Namibia_2010,15,0,2,2,5,1,0,5,0,0,0,1,-4,6
Namibia_2010,15,0,3,0,1,0,0,1,0,0,0,0,-1,1
Namibia_2010,15,0,3,1,2,2,0,2,2,1,1,3,2,6
Namibia_2010,15,0,4,0,1,0,0,2,0,0,0,1,0,2
Namibia_2010,15,0,4,1,1,0,0,2,1,0,0,1,1,3
Namibia_2010,15,0,5,0,0,0,0,1,0,0,0,1,1,1
Namibia_2010,15,0,5,1,0,0,0,1,0,0,0,2,2,2
Namibia_2010,15,0,5,2,4,1,0,9,0,0,0,6,2,10
Namibia_2010,15,0,6,0,0,0,0,1,0,0,0,1,1,1
Namibia_2010,15,0,6,1,1,2,0,2,2,1,1,4,4,6
Namibia_2010,15,0,7,1,0,0,0,0,1,0,0,0,1,1
Namibia_2010,15,0,8,1,0,0,0,0,0,0,0,1,1,1
Namibia_2010,15,0,8,2,0,1,0,0,0,0,0,1,1,1
Namibia_2010,15,0,9,1,1,2,0,1,2,1,1,3,3,5
Namibia_2010,16,0,1,0,0,0,0,1,0,0,0,0,-1,1
Namibia_2010,16,0,1,1,0,1,0,1,1,0,1,1,0,2
Namibia_2010,16,0,2,1,0,1,0,0,0,0,0,1,1,1
Namibia_2010,16,0,2,2,0,1,0,2,1,1,0,2,-1,4
Namibia_2010,16,0,2,4,0,1,0,1,2,0,0,1,1,3
