term_str,x,y,cluster
punished,-44.024452,-31.797716,"x -50 to -30, y -55 to -30"
qualified,-49.779594,-52.601723,"x -50 to -30, y -55 to -30"
questioned,-34.864418,-41.68719,"x -50 to -30, y -55 to -30"
ratified,-36.558167,-53.76806,"x -50 to -30, y -55 to -30"
re-elected,-42.123234,-40.02225,"x -50 to -30, y -55 to -30"
recalled,-32.93088,-37.37101,"x -50 to -30, y -55 to -30"
recognised,-40.77026,-43.62706,"x -50 to -30, y -55 to -30"
recognized,-41.25453,-43.490444,"x -50 to -30, y -55 to -30"
recorded,-34.15504,-36.550545,"x -50 to -30, y -55 to -30"
reduced,-43.26749,-39.21202,"x -50 to -30, y -55 to -30"
reelected,-42.324097,-40.109745,"x -50 to -30, y -55 to -30"
refused,-40.746243,-38.300846,"x -50 to -30, y -55 to -30"
rejected,-34.610077,-51.34707,"x -50 to -30, y -55 to -30"
released,-45.907177,-36.537384,"x -50 to -30, y -55 to -30"
relieved,-47.594276,-31.000957,"x -50 to -30, y -55 to -30"
removed,-47.639168,-38.947144,"x -50 to -30, y -55 to -30"
rendered,-33.62352,-41.26155,"x -50 to -30, y -55 to -30"
renewed,-41.86868,-40.626858,"x -50 to -30, y -55 to -30"
repeated,-33.231052,-36.862026,"x -50 to -30, y -55 to -30"
replaced,-41.75148,-49.619324,"x -50 to -30, y -55 to -30"
reported,-32.047073,-32.97525,"x -50 to -30, y -55 to -30"
represented,-32.574932,-48.390213,"x -50 to -30, y -55 to -30"
requested,-36.926376,-49.00428,"x -50 to -30, y -55 to -30"
required,-45.580544,-47.546837,"x -50 to -30, y -55 to -30"
reserved,-40.081947,-34.4668,"x -50 to -30, y -55 to -30"
resign,-48.60002,-38.91276,"x -50 to -30, y -55 to -30"
resolved,-34.805088,-44.09732,"x -50 to -30, y -55 to -30"
resort,-32.496822,-36.541935,"x -50 to -30, y -55 to -30"
respected,-39.69934,-42.840218,"x -50 to -30, y -55 to -30"
restricted,-41.490032,-37.762325,"x -50 to -30, y -55 to -30"
retained,-36.2867,-37.756943,"x -50 to -30, y -55 to -30"
retire,-47.912296,-33.343815,"x -50 to -30, y -55 to -30"
retired,-47.845104,-32.402042,"x -50 to -30, y -55 to -30"
returned,-31.30658,-53.100143,"x -50 to -30, y -55 to -30"
reviewed,-34.738426,-46.54864,"x -50 to -30, y -55 to -30"
revoked,-46.02056,-41.658752,"x -50 to -30, y -55 to -30"
sanctioned,-37.065,-44.59432,"x -50 to -30, y -55 to -30"
searched,-41.10901,-31.431673,"x -50 to -30, y -55 to -30"
seized,-40.113403,-32.501198,"x -50 to -30, y -55 to -30"
selected,-43.161945,-51.630657,"x -50 to -30, y -55 to -30"
sent,-31.607702,-53.102325,"x -50 to -30, y -55 to -30"
separated,-47.312244,-35.643074,"x -50 to -30, y -55 to -30"
settled,-37.188393,-45.45398,"x -50 to -30, y -55 to -30"
shared,-38.174416,-34.662983,"x -50 to -30, y -55 to -30"
signed,-36.73463,-51.238003,"x -50 to -30, y -55 to -30"
spent,-34.74405,-35.716217,"x -50 to -30, y -55 to -30"
still,-30.693186,-35.1916,"x -50 to -30, y -55 to -30"
subjected,-47.932632,-45.199905,"x -50 to -30, y -55 to -30"
submitted,-32.34044,-53.202,"x -50 to -30, y -55 to -30"
substantiated,-30.854664,-37.114456,"x -50 to -30, y -55 to -30"
substituted,-31.768648,-38.366558,"x -50 to -30, y -55 to -30"
summoned,-30.083828,-46.495895,"x -50 to -30, y -55 to -30"
supported,-35.651863,-51.218548,"x -50 to -30, y -55 to -30"
suspended,-47.286835,-39.352833,"x -50 to -30, y -55 to -30"
sworn,-35.73065,-43.159775,"x -50 to -30, y -55 to -30"
tabled,-31.161924,-48.369167,"x -50 to -30, y -55 to -30"
terminated,-46.232136,-40.974083,"x -50 to -30, y -55 to -30"
threatened,-37.99939,-37.22731,"x -50 to -30, y -55 to -30"
transferred,-45.761543,-39.420258,"x -50 to -30, y -55 to -30"
transmitted,-30.705736,-53.26149,"x -50 to -30, y -55 to -30"
tried,-43.45109,-31.171364,"x -50 to -30, y -55 to -30"
unable,-48.60662,-47.883343,"x -50 to -30, y -55 to -30"
undertaken,-34.054203,-40.26057,"x -50 to -30, y -55 to -30"
used,-40.163986,-40.561996,"x -50 to -30, y -55 to -30"
varied,-43.92707,-39.52734,"x -50 to -30, y -55 to -30"
vested,-49.95617,-42.65135,"x -50 to -30, y -55 to -30"
violated,-37.85262,-38.43843,"x -50 to -30, y -55 to -30"
voted,-34.329258,-49.32744,"x -50 to -30, y -55 to -30"
which,-30.781427,-34.89426,"x -50 to -30, y -55 to -30"
withdrawn,-48.721363,-36.37232,"x -50 to -30, y -55 to -30"
withheld,-39.15574,-32.62209,"x -50 to -30, y -55 to -30"
1,8.660432,-75.51008,"x 0 to 20, y -80 to -55"
10,13.176577,-73.03615,"x 0 to 20, y -80 to -55"
100,14.556346,-64.22988,"x 0 to 20, y -80 to -55"
101,10.853081,-57.16618,"x 0 to 20, y -80 to -55"
102,7.157146,-59.507812,"x 0 to 20, y -80 to -55"
103,8.04382,-57.992912,"x 0 to 20, y -80 to -55"
104,5.9973593,-60.6619,"x 0 to 20, y -80 to -55"
105,11.182694,-59.836506,"x 0 to 20, y -80 to -55"
106,10.390687,-55.44431,"x 0 to 20, y -80 to -55"
